2460676.500000000, A.D. 2025-Jan-01 00:00:00.0000, -1.786834409731047E-01,  9.669827953774551E-01, -5.109423915082682E-05, -1.720473858166942E-02, -3.193533189307208E-03,  5.457174067040888E-09,
2460677.500000000, A.D. 2025-Jan-02 00:00:00.0000, -1.958590878880783E-01,  9.636382284641026E-01, -5.114611656384336E-05, -1.714560420414992E-02, -3.495399751114181E-03, -1.066814793631727E-07,
2460678.500000000, A.D. 2025-Jan-03 00:00:00.0000, -2.129727572665006E-01,  9.599924292263013E-01, -5.130116483510678E-05, -1.708079444223607E-02, -3.795966563151322E-03, -1.995338850329137E-07,
2460679.500000000, A.D. 2025-Jan-04 00:00:00.0000, -2.300188111933187E-01,  9.560467892791192E-01, -5.153621346244332E-05, -1.701038879039393E-02, -4.095052140257688E-03, -2.655249834954828E-07,
2460680.500000000, A.D. 2025-Jan-05 00:00:00.0000, -2.469917042018858E-01,  9.518028736428676E-01, -5.182121847168973E-05, -1.693449184547238E-02, -4.392492437097759E-03, -2.985985024642798E-07,
2460681.500000000, A.D. 2025-Jan-06 00:00:00.0000, -2.638860055608138E-01,  9.472623998203784E-01, -5.212109630758703E-05, -1.685322731782515E-02, -4.688147437261418E-03, -2.948136004048319E-07,
2460682.500000000, A.D. 2025-Jan-07 00:00:00.0000, -2.806964146973069E-01,  9.424272114732688E-01, -5.239804811233434E-05, -1.676673048315745E-02, -4.981905331994063E-03, -2.527255680159097E-07,
2460683.500000000, A.D. 2025-Jan-08 00:00:00.0000, -2.974177687035399E-01,  9.372992491162806E-01, -5.261415660444699E-05, -1.667514001312919E-02, -5.273684346686813E-03, -1.735537270145041E-07,
2460684.500000000, A.D. 2025-Jan-09 00:00:00.0000, -3.140450415706769E-01,  9.318805200586254E-01, -5.273405303097380E-05, -1.657858964207575E-02, -5.563432444164945E-03, -6.115565875545681E-08,
2460685.500000000, A.D. 2025-Jan-10 00:00:00.0000, -3.305733350936713E-01,  9.261730697090935E-01, -5.272746080995410E-05, -1.647719988378257E-02, -5.851124851103270E-03,  7.819746644258079E-08,
2460686.500000000, A.D. 2025-Jan-11 00:00:00.0000, -3.469978616952718E-01,  9.201789565948565E-01, -5.257140162902870E-05, -1.637107028080232E-02, -6.136759033190068E-03,  2.362775286750459E-07,
2460687.500000000, A.D. 2025-Jan-12 00:00:00.0000, -3.633139201966603E-01,  9.139002338038515E-01, -5.225181832551693E-05, -1.626027328134985E-02, -6.420346880258642E-03,  4.036083789080363E-07,
2460688.500000000, A.D. 2025-Jan-13 00:00:00.0000, -3.795168669062970E-01,  9.073389394554985E-01, -5.176437951609927E-05, -1.614485124957665E-02, -6.701904646637983E-03,  5.703768816585461E-07,
2460689.500000000, A.D. 2025-Jan-14 00:00:00.0000, -3.956020858078766E-01,  9.004970977147929E-01, -5.111432983079419E-05, -1.602481776876698E-02, -6.981442274176754E-03,  7.273991439087784E-07,
2460690.500000000, A.D. 2025-Jan-15 00:00:00.0000, -4.115649622527851E-01,  8.933767298476285E-01, -5.031543123403552E-05, -1.590016321980665E-02, -7.258954369604728E-03,  8.669377456530228E-07,
2460691.500000000, A.D. 2025-Jan-16 00:00:00.0000, -4.274008638183446E-01,  8.859798726297432E-01, -4.938823711066347E-05, -1.577086319669647E-02, -7.534414755632076E-03,  9.831978806517877E-07,
2460692.500000000, A.D. 2025-Jan-17 00:00:00.0000, -4.431051300633733E-01,  8.783086000672357E-01, -4.835806206149030E-05, -1.563688749200201E-02, -7.807775288309420E-03,  1.072440605890065E-06,
2460693.500000000, A.D. 2025-Jan-18 00:00:00.0000, -4.586730706517568E-01,  8.703650444101790E-01, -4.725300792500463E-05, -1.549820756159068E-02, -8.078968242789015E-03,  1.132776069029972E-06,
2460694.500000000, A.D. 2025-Jan-19 00:00:00.0000, -4.740999696445640E-01,  8.621514136267503E-01, -4.610229998122118E-05, -1.535480129343078E-02, -8.347910719390506E-03,  1.163775675862541E-06,
2460695.500000000, A.D. 2025-Jan-20 00:00:00.0000, -4.893810931224322E-01,  8.536700041573958E-01, -4.493503908159590E-05, -1.520665495162090E-02, -8.614509429464382E-03,  1.166050299308275E-06,
2460696.500000000, A.D. 2025-Jan-21 00:00:00.0000, -5.045116975681133E-01,  8.449232092252300E-01, -4.377934488012559E-05, -1.505376288745652E-02, -8.878664640874952E-03,  1.140903851493535E-06,
2460697.500000000, A.D. 2025-Jan-22 00:00:00.0000, -5.194870372087378E-01,  8.359135239194171E-01, -4.266178113260215E-05, -1.489612590107213E-02, -9.140272618046673E-03,  1.090121679577321E-06,
2460698.500000000, A.D. 2025-Jan-23 00:00:00.0000, -5.343023694187450E-01,  8.266435486968027E-01, -4.160691585379324E-05, -1.473374914218223E-02, -9.399226336756560E-03,  1.015913152648594E-06,
2460699.500000000, A.D. 2025-Jan-24 00:00:00.0000, -5.489529581298127E-01,  8.171159930128429E-01, -4.063686371614034E-05, -1.456664034982558E-02, -9.655414539475876E-03,  9.210018608626351E-07,
2460700.500000000, A.D. 2025-Jan-25 00:00:00.0000, -5.634340759586430E-01,  8.073336806223271E-01, -3.977067429932827E-05, -1.439480916873061E-02, -9.908719403541459E-03,  8.088378092183732E-07,
2460701.500000000, A.D. 2025-Jan-26 00:00:00.0000, -5.777410064858755E-01,  7.972995577013829E-01, -3.902346618597629E-05, -1.421826824875811E-02, -1.015901334471802E-02,  6.838829259861321E-07,
